trade_date,trade_time,action,stock_code,stock_name,price,shares,amount,pnl_amount,pnl_pct,cash_after,sell_pressure_score,sell_signal,volume_ratio,turnover_rate,note
2026-06-16,14:55,BUY,600601,方正科技,14.15,14100,199515.00,0.00,0.00,800485.00,,,,,尾盘14:55模拟买入，按重点关注平均分配账户余额；严格遵守 T+1，当日不卖
2026-06-16,14:55,BUY,002600,领益智造,15.69,12700,199263.00,0.00,0.00,601222.00,,,,,尾盘14:55模拟买入，按重点关注平均分配账户余额；严格遵守 T+1，当日不卖
2026-06-16,14:55,BUY,603063,禾望电气,51.40,3800,195320.00,0.00,0.00,405902.00,,,,,尾盘14:55模拟买入，按重点关注平均分配账户余额；严格遵守 T+1，当日不卖
2026-06-16,14:55,BUY,002185,华天科技,17.81,11200,199472.00,0.00,0.00,206430.00,,,,,尾盘14:55模拟买入，按重点关注平均分配账户余额；严格遵守 T+1，当日不卖
2026-06-16,14:55,BUY,600584,长电科技,76.85,2600,199810.00,0.00,0.00,6620.00,,,,,尾盘14:55模拟买入，按重点关注平均分配账户余额；严格遵守 T+1，当日不卖
2026-06-17,09:35,SELL,600601,方正科技,13.82,14100,194862.00,-4653.00,-2.33,201482.00,,,,,T+1 次日 9:35 低开超过 -1.5%，按开盘价近似卖出；盈亏滚入下一轮本金
2026-06-17,10:30,SELL,002600,领益智造,15.68,12700,199136.00,-127.00,-0.06,400618.00,,,,,T+1 次日 10:30 前未走强，按当日快照收盘价近似退出；盈亏滚入下一轮本金
2026-06-17,,SELL,603063,禾望电气,52.43,3800,199234.00,3914.00,2.00,599852.00,,,,,T+1 次日触发第一止盈，按第一止盈点卖出；盈亏滚入下一轮本金
2026-06-17,09:35,SELL,002185,华天科技,17.50,11200,196000.00,-3472.00,-1.74,795852.00,,,,,T+1 次日 9:35 低开超过 -1.5%，按开盘价近似卖出；盈亏滚入下一轮本金
2026-06-17,,SELL,600584,长电科技,78.39,2600,203814.00,4004.00,2.00,999666.00,,,,,T+1 次日触发第一止盈，按第一止盈点卖出；盈亏滚入下一轮本金
2026-06-17,14:57,BUY,600584,长电科技,80.95,2400,194280.00,0.00,0.00,805386.00,,,,,尾盘14:57模拟买入，按重点关注平均分配账户余额；严格遵守 T+1，当日不卖
2026-06-17,14:57,BUY,002409,雅克科技,144.90,1300,188370.00,0.00,0.00,617016.00,,,,,尾盘14:57模拟买入，按重点关注平均分配账户余额；严格遵守 T+1，当日不卖
2026-06-17,14:57,BUY,002185,华天科技,18.55,10700,198485.00,0.00,0.00,418531.00,,,,,尾盘14:57模拟买入，按重点关注平均分配账户余额；严格遵守 T+1，当日不卖
2026-06-17,14:57,BUY,603267,鸿远电子,74.89,2600,194714.00,0.00,0.00,223817.00,,,,,尾盘14:57模拟买入，按重点关注平均分配账户余额；严格遵守 T+1，当日不卖
2026-06-17,14:57,BUY,000021,深科技,42.20,4700,198340.00,0.00,0.00,25477.00,,,,,尾盘14:57模拟买入，按重点关注平均分配账户余额；严格遵守 T+1，当日不卖
2026-06-18,11:25,SELL,600584,长电科技,82.57,1200,99084.00,1944.00,2.00,124561.00,5,承接较强,1.80,3.80,T+1 次日截至11:25快照已触发第一止盈，按第一止盈点卖出，剩余仓位继续强势跟踪；盈亏滚入下一轮本金
2026-06-18,11:26,SELL,002409,雅克科技,147.80,600,88680.00,1740.00,2.00,213241.00,15,承接较强,1.00,3.80,T+1 次日截至11:26快照已触发第一止盈，按第一止盈点卖出，剩余仓位继续强势跟踪；盈亏滚入下一轮本金
2026-06-18,09:30,SELL,002185,华天科技,18.92,5300,100276.00,1961.00,1.99,313517.00,5,承接较强,1.80,3.80,T+1 次日开盘已越过第一止盈，按第一止盈点卖出，剩余仓位继续强势跟踪；盈亏滚入下一轮本金
2026-06-18,11:25,SELL,603267,鸿远电子,76.39,1300,99307.00,1950.00,2.00,412824.00,5,承接较强,1.35,3.80,T+1 次日截至11:25快照已触发第一止盈，按第一止盈点卖出，剩余仓位继续强势跟踪；盈亏滚入下一轮本金
2026-06-18,11:25,SELL,000021,深科技,43.04,2300,98992.00,1932.00,1.99,511816.00,15,承接较强,1.00,3.80,T+1 次日截至11:25快照已触发第一止盈，按第一止盈点卖出，剩余仓位继续强势跟踪；盈亏滚入下一轮本金
2026-06-18,14:30,SELL,600584,长电科技,84.09,1200,100908.00,3768.00,3.88,612724.00,5,承接较强,1.80,3.80,T+1 次日未触发止盈止损，14:30 时间止损全部卖出；承接较强5/100；量比1.80，换手3.80%，成交额112.7亿；盈亏滚入下一轮本金
2026-06-18,14:30,SELL,002409,雅克科技,148.16,700,103712.00,2282.00,2.25,716436.00,15,承接较强,1.00,3.80,T+1 次日未触发止盈止损，14:30 时间止损全部卖出；承接较强15/100；量比1.00，换手3.80%，成交额26.5亿；盈亏滚入下一轮本金
2026-06-18,14:30,SELL,002185,华天科技,19.67,5400,106218.00,6048.00,6.04,822654.00,5,承接较强,1.80,3.80,T+1 次日未触发止盈止损，14:30 时间止损全部卖出；承接较强5/100；量比1.80，换手3.80%，成交额63.9亿；盈亏滚入下一轮本金
2026-06-18,14:30,SELL,603267,鸿远电子,75.93,1300,98709.00,1352.00,1.39,921363.00,5,承接较强,1.35,3.80,T+1 次日未触发止盈止损，14:30 时间止损全部卖出；承接较强5/100；量比1.35，换手3.80%，成交额11.0亿；盈亏滚入下一轮本金
2026-06-18,14:30,SELL,000021,深科技,43.00,2400,103200.00,1920.00,1.90,1024563.00,15,承接较强,1.00,3.80,T+1 次日未触发止盈止损，14:30 时间止损全部卖出；承接较强15/100；量比1.00，换手3.80%，成交额41.4亿；盈亏滚入下一轮本金
2026-06-18,14:55,BUY,603083,剑桥科技,213.79,900,192411.00,0.00,0.00,832152.00,,,,,尾盘14:55模拟买入，按重点关注平均分配账户余额；严格遵守 T+1，当日不卖
2026-06-18,14:55,BUY,600522,中天科技,57.46,3500,201110.00,0.00,0.00,631042.00,,,,,尾盘14:55模拟买入，按重点关注平均分配账户余额；严格遵守 T+1，当日不卖
2026-06-18,14:55,BUY,001267,汇绿生态,57.10,3500,199850.00,0.00,0.00,431192.00,,,,,尾盘14:55模拟买入，按重点关注平均分配账户余额；严格遵守 T+1，当日不卖
2026-06-18,14:55,BUY,002261,拓维信息,30.54,6700,204618.00,0.00,0.00,226574.00,,,,,尾盘14:55模拟买入，按重点关注平均分配账户余额；严格遵守 T+1，当日不卖
2026-06-18,14:55,BUY,002185,华天科技,19.67,10400,204568.00,0.00,0.00,22006.00,,,,,尾盘14:55模拟买入，按重点关注平均分配账户余额；严格遵守 T+1，当日不卖
